,Article Title,Article Previous Price,Article Actual Price,Number of ratings
0,Trendyol Collection Blue Elastic High Waist Wide Leg Jeans TWOAW21JE0539,"23,99 €","19,20 €",7727 Ratings
1,Trendyol Collection White Boyfriend Shirt TWOAW20GO0115,"15,99 €","12,80 €",16714 Ratings
2,Trendyol Collection Black Snaps Knitted Body TWOSS20BD0044,"11,99 €","9,60 €",13819 Ratings
3,Trendyol Collection Neck Detailed Voile - Dress TBESS21EL1248,"23,99 €","19,20 €",285 Ratings
4,Trendyol Collection Black Fisto Details Vual Beach Dress TBESS21EL1248,,"23,99 €",133 Ratings
5,Trendyol Collection Ethnic Patterned Voile Kimono & Kaftan TBESS21KM0010,"25,99 €","19,50 €",761 Ratings
6,Trendyol Collection High Waist Mom Jeans With Blue Asymmetric Closure TWOAW21JE0119,"23,99 €","19,20 €",3259 Ratings
7,Trendyol Collection Light Blue Color Block High Waist Mom Jeans TWOSS20JE0080,"21,99 €","17,60 €",7328 Ratings
8,Trendyol Collection Anthracite Belt Trousers TWOSS21PL0104,"17,99 €","14,40 €",1145 Ratings
9,Trendyol Collection Ekru Belted Button-Down Jumpsuit TWOSS21TU0238,"25,99 €","20,80 €",121 Ratings
